고유번호,문법번호,영어예문,번역문,질문,관련문,참조문,출처
212,10106020900,He has changed a good deal from when I used to know him.,내가 그를 알곤 했을 때부터 그는 많이 달라졌다.,"""from when~"" 이 [내가 그를 알곤 했을 때부터]와 같이 ""when""이하가 ""from""의 목적어로 번역이 되었습니까?",,,문법책-성문기본
213,10106030100,"""In a few minutes, Grandfather,"" I said.","""'몇 분 있으면요, 할아버지""하고 나는 말했다.","""in a few minutes""가 [몇분있으면]으로 ""in""이 시간의 경과를 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
214,10106030100,Can you submit the paper by tomorrow?,내일까지 그 논문을 제출할 수 있습니까?,"""by""가 [∼까지]로 기한을 나타내도록 번역되었습니까?",,,문법책-Hornby
215,10106030100,I will stay there for two weeks.,나는 그곳에 2주일간 체류할 것입니다.,"""for two weeks""가 기간을 나타내도록 번역되었습니까?",,,문법책-Hornby
216,10106030100,I met him at two in the afternoon.,나는 오후 2시에 그를 만났다.,"""at two""가 [2시]로, 시간으로 번역되었습니까?",,,문법책-Hornby
217,10106030100,"On arriving in Seoul, I called his office.",서울에 도착해서 바로 나는 그의 사무소를 방문했다.,"""on""이 [∼해서 바로]로 시간적 근접, 동시동작을 나타내도록 번역되었습니까?",,,문법책-Hornby
218,10106030100,"""I could read from my childhood when I was four.""",""" 나는 4살 된 어릴 적부터 읽을 수 있었다네.""","""from my childhood ""가 [어릴적 부터]로 번역이 되었습니까?",,,문법책-맨투맨
219,10106030200,"""The baby fell in the pond!""","""'아기가 연못에 빠졌어요!""","""in the pond""가 [연못에]로 ""in""이 장소를 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
220,10106030200,He was born at a house by the seaside.,그는 바닷가에서 태어났다.,"""by""가 [∼의 옆]으로, 근접한 장소를 나타내도록 번역되었습니까?",,,문법책-Hornby
221,10106030200,I went to the park with him.,나는 그와 함께 공원에 갔다.,""" to the park""가 [공원에]와 같이 ""to""가 장소를 나타내도록 번역이 되었습니까?",,,문법책-성문기본
222,10106030200,On the ship he thought about the conversation with his friend.,배 위에서 그는 자기 친구와 나눈 대화를 곰곰이 생각했다.,"""On the ship""이 [배 위에서]로, ""on""이 [의 위에서]로 번역이 되었습니까?",,,문법책-맨투맨
223,10106030200,The chair under the table is big.,그 테이블 아래의 의자가 크다.,"""under""가 [∼아래의]로 번역되었습니까?",,,문법책-Hornby
224,10106030300,My voice was shaking with anger.,나의 목소리는 분노로 떨리고 있었다.,"""with anger""가 ""was shaking"" 의 이유를 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
225,10106030300,She was astonished at the news.,그 소식에 그녀는 놀랐다.,"""be astonished at""이 [∼(에/을 듣고) 놀라다]로 번역되었습니까?",,,문법책-Hornby
226,10106030300,Her mother died of cancer.,그녀의 모친은 암으로 죽었다.,"""of""가 [∼로]로, 원인을 나타내도록 번역되었습니까?",,,문법책-Hornby
227,10106030300,His father died from overwork.,그의 아버지는 과로로 돌아가셨다.,"""from""이 [∼에 의해]으로 번역되었습니까?",,,문법책-Hornby
228,10106030300,"With an eye bandaged, he could not write properly.","한 눈을 붕대로 감았기 때문에, 그는 글을 잘 쓸 수 없었다.","""With an eye bandaged""가 [한 눈을 붕대로 감았기 때문에]와 같이 ""with""가 이유, 원인의 의미로 번역이 되었습니까?",,,문법책-성문기본
229,10106030400,This bridge is built of wood.,이 다리는 나무로 만들어졌다.,""" of wood""가 [나무로]와 같이 ""of""가 원료, 재료의 의미로 번역이 되었습니까?",,,문법책-성문기본
230,10106030400,There is a cover of rich topsoil.,비옥한 토양이 땅 위에 덮여 있다.,""" of rich topsoil"" 이 [비옥한 토양으로]로, 원료 재료의 의미로 번역이 되었습니까?",,,문법책-맨투맨
231,10106030500,But a lot of people still go up in balloons.,그러나 많은 사람들은 아직도 기구를 타고 올라간다.,"""in balloons""가 [기구를 타고]로 번역되었습니까?",,,영어교과서-고교ii-a-1
232,10106030500,I had to get some money with my taxi.,저는 택시로 돈을 벌어야 했습니다.,"""with my taxi""가 [택시로]라고 수단으로 번역되었습니까?",,,영어교과서-고교ii-a-1
233,10106030500,Mrs. Retallack started her tests with piano tones.,레텔랙 부인은 피아노 소리로 자신의 실험을 시작했다.,"""with piano tones""가 [피아노 소리로]라고  번역이 되었습니까?",,,영어교과서-고교ii-a-1
234,10106030500,I like to travel by plane.,나는 비행기로 여행하는 것을 좋아한다.,“by plane”이 [비행기로]와 같이 이동수단을 나타내도록 번역되었습니까?,,,문법책-Hornby
235,10106030500,Please speak in English.,영어로 말해 주세요.,"""in""이 [∼로]로, 도구, 수단을 나타내도록 번역되었습니까?",,,문법책-Hornby
236,10106030600,Sugar is sold by the pound.,설탕은 pound 단위로 팔린다.," ""by the pound"" 가 [pound 단위로]와 같이, 단위의 의미로 번역이 되었습니까?",,,문법책-성문기본
237,10106030700,We made towards the island.,우리는 그섬을 향해 갔다.,"""towards the island""가 [그 섬을 향해서]와 같이 방향성을 나타내도록 번역이 되었습니까?",,,문법책-성문기본
238,10106030700,He started for Paris.,그는 파리를 향해 출발했다.,"""for Paris""가 [파리를 향해서]와 같이 ""for""가 [~을 향해서]로 방향성을 나타내도록 번역이 되었습니까?",,,문법책-성문기본
239,10106030700,The water he drinks may have come originally from volcanoes.,마시는 물이 본래 화산으로부터 유래되었을지도 모른다.,""" from""이 [~로 부터 ]와 같이 방향성의 의미로 번역이 되었습니까?",,,문법책-맨투맨
240,10106030700,And the old man of the sea walked away into the night.,그리고는 바다의 노인은 어둠 속으로 걸어가버렸다.,""" into the night"" [어둠속으로]와 같이, 번역되었습니까?",,,문법책-맨투맨
241,10106030800,Martin listens with a troubled face.,마틴은 난처한 듯한 얼굴로 듣고 있다.,"""with a troubled face""가 [난처한 얼굴로]로 ""with""가 부대상황으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
242,10106030800,Mr. Armory is standing with his back to the fire.,아모리 씨는 등을 벽난로쪽으로 돌린 채 서 있다.,"""with 이하""가 [등을 벽난로 쪽으로 돌리고]라고 부대상황으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
243,10106030800,Don't speak with your mouth full.,입에 음식을 가득 넣은 상태로 말하지 말아라,"""with""가 부대상황을 나타내도록 번역되었습니까?",,,문법책-Hornby
244,10106030800,He was standing with his hands in his pockets.,그는 그의 손을 그의 주머니에 집어 넣고 서 있었다.,"""with his hands in his pockets""가 [그의 손을 그의 주머니에 집어 넣고]와 같이 부대상황의 의미로 번역이 되었습니까?",,,문법책-성문기본
245,10106030900,Look at the picture on the wall.,벽의 그림을 보세요.,"""on the wall""가  [벽의]와 같이 접촉면을 나타내도록 번역되었습니까?",,,문법책-Hornby
246,10106030900,The ice gave way beneath our feet.,우리 발 밑에 얼음이 떨어졌다.,"""beneath our feet""가 [우리의 발밑에]와 같이 ""beneath""가 [접해서 바로밑에]와 같은 접촉면의 의미로 번역이 되었습니까?",,,문법책-성문기본
247,10106030900,Presently Louisa sat down on the wall.,Louisa는 곧 돌담 위에 앉았다.,"""on the wall""이 [돌담위에]로 번역이 되었습니까?",,,문법책-맨투맨
248,10106031000,The employees are on strike.,종업원들은 데모중이다.,"""on""이 [∼하고 있다. ∼중이다]로 상태를 나타내도록 번역되었습니까?",,,문법책-Hornby
249,10106031000,The question under discussion is significant.,의논중인 문제는 중요하다.,"""under discussion""이 [의논중인]으로 번역되었습니까?",,,문법책-Hornby
250,10106031000,The hotel was on fire.,그 호텔은 불타고 있었다.,"""on""이 [∼하고 있다. ∼중이다]로 상태를 나타내도록 번역되었습니까?",,,문법책-Hornby
251,10106031000,The new bridge is under construction.,새로운 다리는 건설중에 있다.,"""under construction""이 [건설중인]으로 번역되었습니까?",,,문법책-Hornby
252,10106031100,He works for money.,그는 돈 때문에 일한다.,"""for""가 [∼때문에]로, 목적을 나타내도록 번역되었습니까?",,,문법책-Hornby
253,10106031100,He went out for a walk.,그는 산책하러 나갔습니다.,"""for""가 [∼하러]로, 목적을 나타내도록 번역되었습니까?",,,문법책-Hornby
254,10106031100,He was frozen to death.,그는 얼어 죽었다.,"""to""가 결과를 나타내도록 번역되었습니까?",,,문법책-Hornby
255,10106031100,He needs it for growing food.,인간은 식량을 재배하기 위해 물을 필요로 한다.,"""for growing food""가 [식량을 재배하기 위해서]로, ""for""가 목적의 의미로 번역이 되었습니까?",,,문법책-맨투맨
256,10106031100,My house was burnt to ashes.,우리 집은 타서 재가 되어버렸다.,"""to""가 결과를 나타내도록 번역되었습니까?",,,문법책-Hornby
257,10106031200,He is on a murder case.,그는 살인사건을 담당하고 있다.,"""on""이 종사(從事)하는 대상을 나타내도록 번역되었습니까?",,,문법책-Hornby
258,10106031300,He is older than Jim by ten years.,그는 짐보다 10세 연상이다.,[10세 연상이다]라고 하는 의미로 번역되었습니까?,,,문법책-Hornby
259,10106031300,His theory is different from yours.,그의 이론은 당신의 것과는 다르다.,"""from""이 [∼와]로, 구별을 나타내도록 번역되었습니까?",,,문법책-Hornby
260,10106031400,The light from the lightning reaches us in almost no time at all.,번갯불에서 나온 빛은 거의 즉각적으로 우리에게 도달한다.,"""the light from the lightening""가 [번개로 부터 나온 빛]으로 ""from""이 출처로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
261,10106031400,She entered the house at the front door.,그녀는 정문으로 집에 들어왔다.,"“at""이 그 지점에서 집에 들어왔다고 하는 사실을 나타내도록 번역되었습니까?",,,문법책-Hornby
262,10106031400,He hoped a quick recovery from the bullet wound.,그는 총알 상처의 신속한 회복을 바랬다.,"""from""이 [∼로부터의]로 번역되었습니까?",,,문법책-Hornby
263,10106031400,"In a perfectly healthy spirit, kindness is the natural thing.","완벽하게 건전한 정신에서, 친절함은 저절로 생기는 것이다.","""In a prefectly healthy spirit""가 [건강한 정신에서(으로부터)]로, 출처, 근원의 지점을 의미하도록 번역이 되었습니까?",,,문법책-맨투맨
264,10106031500,We walked for two miles.,그는 2마일을 걸었습니다.,"""for two miles""가 거리을 나타내도록 번역되었습니까?",,,문법책-Hornby
265,10106031600,"Here is a poem, by one of the best-known American poets.",여기에 가장 잘 알려진 미국 시인 중의 한 사람이 쓴 시 한 편을 소개한다.,"""by~""이하가 동작주를 가리켜 시를 쓴 사람으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
266,10106031600,That declaration by the president surprised everyone.,대통령에의한 그 선언은 모든 사람을 놀라게 했다.," ""declaration""의 행위주체가 ""by the president""로 번역되는가?",,,문법책-Hornby
267,10106031700,Clear the table of the dishes.,테이블에서 접시를 정리해주세요.,"""of the dishes""가 정리할 대상을 나타내도록 번역되었습니까?",,,문법책-Hornby
268,10106031700,I was robbed of my bag.,나는 나의 가방을 강탈당했다.,"""of my bag""가  박탈의 대상으로 번역되었습니까?",,,문법책-Hornby
269,10106031800,"""Forgive me!"", said the man in a weak voice.",저를 용서해 주십시오! 라고 그는 나지막한 목소리로 말했다.,"""in a weak voice""가 [나약한 목소리로]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
270,10106031800,They sat in a circle.,그들은 원모양으로 앉았다.,"""in a circle""이 「원모양으로」로, 형상을 나타내도록 번역되었습니까?",,,문법책-Hornby
271,10106031900,He may give me two or three hundred pounds for this stamp.,그가 이 우표값으로 나에게 이삼백 파운드를 줄지도 몰라.,"""for stamp""가 [우표값으로]와 같이 대가, 가격을 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
272,10106031900,He sold his old car at a good price.,그는 낡은 차를 좋은 가격에 팔았다.,"""at""이 가격을 나타내도록 번역되었습니까?",,,문법책-Hornby
273,10106031900,He estimated the crowd at 300.,그는 군중의 수를 300명으로 어림잡았다.,"""at""이 수량을 나타내도록 번역되었습니까?",,,문법책-Hornby
274,10106032000,Korea depends on other countries for oil.,한국은 석유를 다른 국가에 의존하고 있다.,"""on""이 의존의 대상을 나타내도록 번역되었습니까?",,,문법책-Hornby
275,10106032000,I can't live on my present salary.,나는 내 현재의 봉급으로 살아갈수 없다.,"""on""이 의존의 대상을 나타내도록 번역되었습니까?",,,문법책-Hornby
276,10106032100,He's a Pakistani with a lot of children.,그는 많은 아이들이 있는 파키스탄 사람이래요.,"""with a lot of children"" 이 [많은 아이들을 가진]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
277,10106032100,I went to the park with him.,나는 그와 함께 공원에 갔다.,"""with him""이 [그와함께]와 같이 [그를 동반하여]로 수반,동반의 의미로 번역이 되었습니까?",,,문법책-성문기본
278,10106032100,She placed these groups of plants in big closed cabinets on wheels.,그녀는 이 식물들을 바퀴가 달린 큰 밀폐된 캐비넷들 속에 넣었다.,"""on wheels""가 [바퀴가 달린]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
279,10106032100,To pass in science she was required to do some tests with plants.,과학 과정을 통과하기 위해서 그녀는 식물을 가지고 어떤 실험을 하도록 요구받았다.,"""with plants""가 [식물을 가지고]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
280,10106032200,On Reading.,독서에 대하여,"문장이 [독서에 대하여]로 ""on""이 대상을 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
281,10106032200,She killed plants by playing rock music for them.,그녀는 식물에게 록 음악을 들려주어 식물을 죽였다.,"""for them""이 [그들에게]로 대상을 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
282,10106032200,Money is everything to her.,그 여자는 돈밖에 모른다.(돈은 그녀에게 모든것이다.),"""to her""가 [그녀에게]와 같이 ""to""가 대상을 의미하도록 번역이 되었습니까?",,,문법책-성문기본
283,10106032200,They asked the reason for his decision.,사람들은 그의 결정에 대한 이유를 물었다.,""" for his decision""가 [그의 결정에 대한]과 같이 ""for""가 대상을 나타내도록 번역이 되었습니까?",,,문법책-맨투맨
284,10106032300,Burke knows a lot about cattle for his age.,버크는 나이에 비해 소에 관해서 아는 게 많아.,"""for his age""가 [나이에 비해]와 같이 ""for""가 비교의 의미로 번역되었습니까?",,,영어교과서-고교ii-a-1
285,10106032400,We often form judgments about people from looking at their faces.,우리는 흔히 얼굴을 보고 사람들에 대한 판단을 내린다.,"""from looking~""이 판단의 근거를 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
286,10106032400,"We often form opinions about people from their age, nationality, etc.","우리는 흔히 사람들의 나이, 국적 등을 보고 그들에 관한 의견을 형성한다.","""from their age~""이 판단의 근거를 나타내도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
287,10311030000,"""Take her across the road to Dr. Cook. Quick!"" said Mrs. Green with great concern.",그 아이를 길 건너 쿡 의사에게 데려가요. 빨리! 그린 부인이 크게 염려하면서 말했다.,"""across the road to Dr. Cook""이 [길건너 쿡 의사에게]로 나열된 전치사구가 번역이 되었습니까?",,,영어교과서-고교ii-a-1
288,10311030000,I was alone in the house with my grandfather.,집에는 할아버지와 나만이 있었다.,"""in the house with my granfather""이 [할아버지와 함께 집에]라고 나열된 전치사구가 번역되었습니까?",,,영어교과서-고교ii-a-1
289,10311030000,"It came down, nearly an hour later in a village near the outskirts of Paris.",거의 한 시간 후에 그것은 파리 교외 근처에 있는 어느 마을에 내려왔다.,"""in a village near the outskirts of Paris""이 [파리 교외 근처에 있는 어느 마을에]로 나열된 전치사구가 번역이 되었습니까?",,,영어교과서-고교ii-a-1
290,10311030000,Martin returns with an envelope in his hand.,마틴은 그의 손에 봉투를 하나 가지고 돌아온다,"""with envelop in his hand""가 [그의 손에 봉투를 하나가지고 ]로 나열된 전치사구가 번역이 되었습니까?",,,영어교과서-고교ii-a-1
291,10311030000,Ralph enrolled as a freshman in September.,랠프는 9월에 1학년으로 등록했다.,"""as a freshman in September"" 가 [9월에 1학년으로]라고 나열된 전치사구가 번역이 되었습니까?",,,영어교과서-고교ii-a-1
292,10311030000,They can choose between different winds at different heights.,그들은 고도에 따라서 다른 바람을 선택할 수가 있다.,"전치사 나열구가 ""between different winds at different heights""가 [고도에 따라서 다른바람을]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
293,10106040000,The moon came out from behind a cloud.,달이 구름 뒤에서 나왔다.,"나열된 두개의 전치사 “from behind""가 [～의 뒤에서]로 번역되었습니까?",,,문법책-Hornby
294,10106040000,The boat is sailing  in between the two islands.,그 보트는 2개의 섬사이 안으로 나아가고 있다.,"나열된 두개의 전치사 “in between""가 [～사이 안으로]로 번역되었습니까?",,,문법책-Hornby
295,10106040000,Water will start to come up around to you.,물이 당신 주위로 차 올라오기 시작할 것이다.,"나열된 두개의 전치사 ""around to""가  [~주위로]와 같이, 번역이 되었습니까?",,,문법책-맨투맨
296,10106040000,A servant put her head out of an upper window and called.,하인 한 사람이 위층 창문 밖으로 머리를 내밀고서는 소리쳤다.,"""out of"" 가  [~밖으로]와 같이 하나의 전치사로 번역이 되었습니까?",,,문법책-맨투맨
297,10106050000,We have a lot of things to talk about.,우리들은 할 말이 많다.,"“about""이 ""things""에 대한 전치사로서 인정되고 있습니까?",,,문법책-Hornby
298,10107010101,You must wait.,당신은 기다리지 않으면 안된다.,"""must wait""가 [기다리지 않으면 안된다]로 하나의 술어로서 번역되었습니까?",,,문법책-Hornby
299,10107010101,A breeze stirs.,산들바람이 분다.,"[산들바람이 분다]로, ""stir""가 주어의 상태를 나타내도록 번역이 되었습니까?",,,문법책-맨투맨
300,10107010101,He has to study hard.,그는 열심히 공부하지 않으면 안된다.,"""He""가 주어로 ""has to study""가 [공부하지 않으면 안된다]와 같이 하나의 술어로 번역되었습니까?",,,문법책-Hornby
301,10107010101,He sighed.,그는 한숨을 쉬었다.,"문장이 [그가 한숨을 쉬었다]로 ""he""가 주어로 ""sighed""가 술어로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
302,10107010102,Harvard was all the way across the country.,하버드는 멀리 대륙의 맞은편에 있었다.,"""Harvard""가 문의 주어이면서 ""be""가 [있다]와 같이 번역이 되었습니까?",,,영어교과서-고교ii-a-1
303,10107010201,But Grandmother looked stern.,그러나 할머니는 근엄해 보이셨다,"""look stern""이 [근엄해보이다]로 ""stern""이 주어의 상태를 나타내는 보어로 번역되었습니까?",,,영어교과서-고교ii-a-1
304,10107010201,But he felt ashamed.,그러나 그는 부끄러움을 느꼈다.,"""felt ashamed""가 [부끄러움을 느끼다]로 ""ashamed""가 주어의 상태를 나타내는 보어로 번역되었습니까?",,,영어교과서-고교ii-a-1
305,10107010201,Did your wife get better?,부인은 좀 나아지셨나요?,"""get better"" 가 [더나아지다]로 ""better""가 보어로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
306,10107010201,The surrounding scene seems familiar.,주변의 풍경이 눈에 익은 듯하다.,"""seem familiar""가 [눈에 익은듯 보이다]로 ""familiar""가 주어의 상태를 나타내는 보어로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
307,10107010201,She died young.,그녀는 젊어서 죽었다.,"""young""이 [젊어서 죽다] 또는 [죽었을 때 젊었다]로, 죽었을 때의 상태를 나타내도록 번역되었습니까?",,,문법책-Hornby
308,10107010201,She will make a good wife.,그녀는 훌륭한 아내가 될 것이다.,"""She will make a good wife.""가 [그녀는 훌륭한 아내가 될 것이다.]와 같이 ""she""와 ""a good wife""가 equal인 보어관계로 번역이 되었습니까?",,,문법책-성문기본
309,10107010202,He awoke to find his bag stolen.,그는 눈을 뜨자 가방을 잊어버렸다는 것을 발견하였다.,"[눈을 뜨자][발견했다]가, [∼하자∼했다][∼하고 ∼했다]로, 일련의 동작으로서 번역되었습니까?",,,문법책-Hornby
310,10107010202,He seemed to be surprised at the news.,그는 뉴스에 놀라고 있는 것 같았다.,"""seemed to""가 [∼인 것 같다]로, 주관적 판단이나 추정의 의미로 번역되었습니까?",,,문법책-Hornby
311,10107010202,He is to come.,그는 오기로 되어 있다.,"BE동사+TO부정사(구)가 [∼하기로 되어 있다]로, 예정의 의미를 나타내도록 번역되었습니까?",,,문법책-Hornby
312,10107010202,She happened to meet him.,그녀는 우연히 그와 만났다.,"""happened to""가 [우연히 ∼하다]로 번역되었습니까?",,,문법책-Hornby
313,10107010301,"""My baby fell in the pond, and she's stopped breathing.""","우리 아기가 연못에 빠졌었는데, 그 애가 숨을 안 쉬어요.","""stopped breathing""가 [숨쉬는 것을 멈추다]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
314,10107010301,He enjoys playing golf.,그는 골프하는 것을 즐긴다.,"""playing golf""라고 하는 동명사구가 [즐긴다]의 대상이 되도록 번역되었습니까?",,,문법책-Hornby
315,10107010301,That boy needs washing.,그 소년은 씻을 필요가 있다.,"need+동명사가 [∼을 받을(당할) 필요가 있다]로, 수동태의 의미로 번역되었습니까?",,,문법책-Hornby
316,10107010301,Have you finished reading the book?,당신은 책 읽는 것을 끝마쳤습니까?,"""reading the book""라고 하는 동명사구가 [끝마치다]의 대상이 되도록 번역되었습니까?",,,문법책-Hornby
317,10107010301,Soybeans provide a complete source of protein.,콩은 완전한 단백질 원을 제공해주고 있다.,"""a complete source of protein""이 [완전한 단백질 원을]로,[제공하다]의 대상이 되도록 번역이 되었습니까?",,,문법책-맨투맨
318,10107010302,He promised to post her letter.,그는 그녀의 편지를 보낼 것을 약속했다.,"""to post her letter""가 [약속하다/∼의 전망이 있다]의 내용으로서 번역되었습니까?",,,문법책-Hornby
319,10107010302,The ruler of  an ancient  kingdom wanted  to disprove  the statement.,고대 어느 왕국의 임금님은 사실이 아님을 반증하고자 했다.,"""to disprove  the statement""가 [원하다/∼하고자 했다]의 내용으로서 번역되었습니까?",,,문법책-맨투맨
320,10107010302,I forgot to write a letter to him.,나는 그에게 편지를 쓸 것을 잊었다.,"“to write a letter ""가 [편지를 쓸 것을]로, ""forget""의 내용으로 번역되었습니까?",,,문법책-Hornby
321,10107010302,"If I complain, it is that I want to get justice.",내가 불평한다면 그것은 공평함을 얻기를 원하기때문이다..,"""want to get justice""이 [공평함을 얻기를 원하기때문이다]와 같이 ""to get justice""가 ""want""의 내용이 되도록 번역이 되었습니까?",,,문법책-성문기본
322,10107010303,He didn't know how to handle the situation.,그는 그 상황을 어떻게 처리해야 할지를 몰랐다.,"의문사+to부정사 절이 [어떻게 해야할지]와 같이 ""know""의 목적어로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
323,10107010303,You decide on what to do next.,당신은 다음에 무엇을 할지 정한다.,"""what to do next""가 [다음에 무엇을 해야할지]와 같이 [정하는] 일의 대상으로서 번역되었습니까?",,,문법책-Hornby
324,10107010303,I don't know where to take a bath.,나는 어디에서 목욕을 해야 좋을지 모르겠다.,"“where to take a bath""가 [어디에서 목욕을 해야 좋을지]로, ""know""의 내용으로 번역되었습니까?",,,문법책-Hornby
325,10107010303,I don't know when to do it.,나는 그것을 언제 해야 할지를 모른다.,"""when to do it""이 [ 언제 해야 할지를(해야할 때를)]과 같이 ""the time when~""의 의미로, ""know""의 대상(목적어)이 되는 명사절로 번역이 되었습니까?",,,문법책-성문기본
326,10107010304,I think that it will rain.,비가 올 거라고 생각한다.,"""that it will rain""이라고 하는 절이 [생각하다]의 내용으로 번역되었습니까?",,,문법책-Hornby
327,10107010304,The man answered that storks never have more than one leg.,황새는 다리가 하나 뿐이라고 하인은 대답했다.,"""that"" 이하의 절이[대답하다]의 내용이 되도록 번역이 되었습니까?",,,문법책-맨투맨
328,10107010304,The guest in the next room says he can't read.,옆방에 계시는 손님께서 읽을 수가 없다고 말씀하십니다.,"""say"" 이하의 절이[말하다]의 내용(목적어)이 되도록 번역이 되었습니까?",,,문법책-맨투맨
329,10107010304,The young man explained that it was the effect of the advice.,그 젊은이는 그것이  충고 때문이었다고 설명했다.,"""that"" 이하의 절이[설명하다]의 내용(목적어)이 되도록 번역이 되었습니까?",,,문법책-맨투맨
330,10107010305,I know how it happened.,나는 그것이 어떻게 일어났는지를 알고 있다.,"""how it happened""라고 하는 절이 [알고 있다]의 내용으로 번역되었습니까?",,,문법책-Hornby
331,10107010305,They told me how much a car cost.,그들은 나에게 차가 얼마 하는지를 가르쳐 주었다.,"""how much a car cost""가 [나에게 차가 얼마 하는지를]로 [가르치다]의 내용으로 번역되었습니까?",,,문법책-Hornby
332,10107010305,Please see what I've done.,제가 했던 것을 보세요,"""what I've done""라고 하는 절이 [내가 했던 것을]과 같이 ""see""의 내용으로 번역되었습니까?",,,문법책-Hornby
333,10107010305,People often forget how necessary water is for industry.,사람들은 산업에 물이 어떻게 필요한가를 때때로 망각하고 있다.,"""how necessary water is for industry""의 절이 [망각하다]의 내용(목적어)으로 번역이 되었습니까?",,,문법책-맨투맨
334,10107010306,I convinced him that she was happy.,나는 그녀가 행복할 것을 그에게 확신시켰다.,"[∼한 것을 그에게 확신시켰다]로, ""him""이 확신시킨 상대, ""that she was happy""라고 하는 절이 확신시킨 내용으로 번역되었습니까?",,,문법책-Hornby
335,10107010307,He sold his bike to his sister.,그는 누나에게 오토바이를 팔았다.,"[누나에게 오토바이를]로 직접목적어와 전치사구가 하나로 ""sold""의 내용이 되도록 번역되었습니까?",,,문법책-Hornby
336,10107010307,I spend a lot of money on books.,나는 책에 많은 돈을 쓴다.,"[책에 돈을]로 직접목적어와 전치사구가 하나로 ""spend""의 내용이 되도록 번역되었습니까?",,,문법책-Hornby
337,10107010307,She made a new doll for her daughter.,그녀는 그녀의 딸에게 새 인형을 만들어 주었다.," ""for her daughter""이 [그녀의 딸에게] 로 직접목적어와 전치사구가 ""made""의 내용이 되도록 번역되었습니까?",,,문법책-Hornby
338,10107010307,Her grandmother spoils her like a child.,그녀늬 할머니는 어린아이처럼  그녀를 다루어 버릇없이 만든다.,"[어린아이처럼  그녀를 다루어 버릇없이 만든다]로 직접목적어와 전치사구가 ""spoil""의 내용이 되도록 번역되었습니까?",,,문법책-Hornby
339,10107010307,God gives all things to the industrious., 신은 근면한 사람들에게 모든 것을 가져다준다.,"""all things to the industrious""  [근면한 사람들에게 모든 것을]로 직접목적어와 전치사구가 ""give""의 내용이 되도록 번역이 되었습니까?",,,문법책-맨투맨
340,10107010308,He put the picture in the yard.,그는 그 그림을 뜰에 갖다 놓았다.,""" the picture in the yard"" [그 그림을 뜰에]로 직접목적어와 전치사구가 하나로 ""put""의 내용이 되도록 번역이 되었습니까?",,,문법책-맨투맨
341,10107010401,The following story tells us many interestings about balloon flights.,다음 이야기는 기구 비행에 관한 많은 재미있는 일들을 우리에게 말해 준다.,"""tell us many interestings""가 [우리에게 많은 재미있는 일들을 말해준다]와 같이두개의 목적어로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
342,10107010401,I envy you your good fortune.,나는 당신의 행운이 부럽습니다.,"""envy you your good forturn""이 [당신의 행운이 부럽다]로 번역되었습니까?",,,문법책-성문기본
343,10107010401,It gives us light and warmth each day.,그것은 매일 우리에게 빛과 따뜻함을 준다.,""" us light and warmth""이 [우리에게 빛과 따뜻함을]로 두개의 목적어로 번역이 되었습니까?",,,문법책-맨투맨
344,10107010401,The customer handed him a photo.,그 손님은 그에게 사진을 한 장 건네주었다.,"""him a photo ""이 [그에게 사진한장을]로 두개의 목적어로 번역이 되었습니까?",,,문법책-맨투맨
345,10107010401,He sent her a letter.,그는 그녀에게 편지를 보냈다.,"[그녀에게 편지를]로, 이중목적어로서 번역되었습니까?",,,문법책-Hornby
346,10107010402,I asked my grandfather what we should do.,나는 할아버지께 어떻게 해야 되느냐고 여쭈어 보았다.,"""what we should"" 가 명사절로 ""ask""의 직접목적어로 번역되었습니까?",,,영어교과서-고교ii-a-1
347,10107010402,The following story tells us why this is wrong.,다음의 이야기는 이것이 왜 잘못인가를 우리에게 말해 준다.,"""tell us why~""가 [우리에게 왜 ~인지를 말해준다]로 ""us""가 간접목적어 ""why""이하가 직접목적어로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
